2025-07-02 10:15:44.980 | SUCCESS  | adapters.download_file:download_index:36 - Download successful from https://www.ema.europa.eu/en/documents/report/medicines-output-medicines-report_en.xlsx
2025-07-02 10:15:45.596 | SUCCESS  | core.manipulate_df:simplify_dataframe:106 - Successfully simplified the Excel file for authorised medicines.
2025-07-02 10:15:45.602 | SUCCESS  | core.manipulate_df:simplify_dataframe:125 - Successfully archived and saved the new simplified file.
2025-07-02 10:15:45.602 | INFO     | __main__:<module>:28 - Authorised medicines DataFrame successfully simplified.
2025-07-02 10:15:45.606 | WARNING  | core.manipulate_df:clean_name_withdrawn:64 - The name Pemetrexed-pfizer is identical for both authorised and withdrawn medicines.
2025-07-02 10:15:45.607 | WARNING  | core.manipulate_df:clean_name_withdrawn:64 - The name Vantobra is identical for both authorised and withdrawn medicines.
2025-07-02 10:15:45.607 | WARNING  | core.manipulate_df:clean_name_withdrawn:64 - The name Fluenz is identical for both authorised and withdrawn medicines.
2025-07-02 10:15:45.608 | WARNING  | core.manipulate_df:clean_name_withdrawn:64 - The name Clopidogrel-ratiopharm is identical for both authorised and withdrawn medicines.
2025-07-02 10:15:45.609 | WARNING  | core.manipulate_df:clean_name_withdrawn:64 - The name Liprolog is identical for both authorised and withdrawn medicines.
2025-07-02 10:15:45.611 | SUCCESS  | core.manipulate_df:simplify_dataframe:116 - Successfully simplified the Excel file for withdrawn medicines.
2025-07-02 10:15:45.620 | SUCCESS  | core.manipulate_df:simplify_dataframe:125 - Successfully archived and saved the new simplified file.
2025-07-02 10:15:45.620 | INFO     | __main__:<module>:37 - Withdrawn medicines DataFrame successfully simplified.
2025-07-02 10:15:45.644 | INFO     | core.update_rcp:rename_update_rcp:34 - The file Busulfan-fresenius-kabi.pdf has been renamed to Busulfan-fresenius-kabi_old.pdf due to an update.
2025-07-02 10:15:45.645 | INFO     | core.update_rcp:rename_update_rcp:34 - The file Constella.pdf has been renamed to Constella_old.pdf due to an update.
2025-07-02 10:15:45.648 | INFO     | core.update_rcp:rename_update_rcp:34 - The file Xydalba.pdf has been renamed to Xydalba_old.pdf due to an update.
2025-07-02 10:15:45.665 | INFO     | core.update_rcp:update_rcp:70 - Update #1 : RCP for Busulfan-fresenius-kabi added to the download list.
2025-07-02 10:15:45.665 | INFO     | core.update_rcp:update_rcp:70 - Update #2 : RCP for Constella added to the download list.
2025-07-02 10:15:45.666 | INFO     | core.update_rcp:update_rcp:70 - Update #3 : RCP for Cimzia added to the download list.
2025-07-02 10:15:45.667 | INFO     | core.update_rcp:update_rcp:70 - Update #4 : RCP for Livmarli added to the download list.
2025-07-02 10:15:45.667 | INFO     | core.update_rcp:update_rcp:70 - Update #5 : RCP for Xydalba added to the download list.
2025-07-02 10:15:45.668 | INFO     | core.update_rcp:update_rcp:70 - Update #6 : RCP for Synjardy added to the download list.
2025-07-02 10:15:45.668 | INFO     | core.update_rcp:update_rcp:70 - Update #7 : RCP for Breyanzi added to the download list.
2025-07-02 10:15:45.668 | INFO     | core.update_rcp:update_rcp:70 - Update #8 : RCP for Naveruclif added to the download list.
2025-07-02 10:15:45.669 | INFO     | core.update_rcp:update_rcp:70 - Update #9 : RCP for Sorafenib-accord added to the download list.
2025-07-02 10:15:45.670 | INFO     | core.update_rcp:update_rcp:70 - Update #10 : RCP for Jardiance added to the download list.
2025-07-02 10:15:45.671 | INFO     | core.update_rcp:update_rcp:70 - Update #11 : RCP for Bropair-spiromax added to the download list.
2025-07-02 10:15:45.671 | INFO     | core.update_rcp:update_rcp:70 - Update #12 : RCP for Levetiracetam-actavis added to the download list.
2025-07-02 10:15:45.672 | INFO     | core.update_rcp:update_rcp:70 - Update #13 : RCP for Glyxambi added to the download list.
2025-07-02 10:15:45.673 | INFO     | core.update_rcp:update_rcp:70 - Update #14 : RCP for Keppra added to the download list.
2025-07-02 10:15:45.673 | INFO     | core.update_rcp:update_rcp:70 - Update #15 : RCP for Levetiracetam-ratiopharm added to the download list.
2025-07-02 10:15:45.674 | INFO     | core.update_rcp:update_rcp:70 - Update #16 : RCP for Levetiracetam-teva added to the download list.
2025-07-02 10:15:45.675 | INFO     | core.update_rcp:update_rcp:70 - Update #17 : RCP for Emtricitabine-tenofovir-disoproxil-mylan added to the download list.
2025-07-02 10:15:45.675 | INFO     | core.update_rcp:update_rcp:70 - Update #18 : RCP for Levetiracetam-actavis-group added to the download list.
2025-07-02 10:15:45.676 | INFO     | core.update_rcp:update_rcp:70 - Update #19 : RCP for Vyjuvek added to the download list.
2025-07-02 10:15:45.699 | INFO     | adapters.download_file:download_pdf:91 - Downloading Busulfan-fresenius-kabi/1477 : Busulfan-fresenius-kabi
2025-07-02 10:15:45.704 | INFO     | adapters.download_file:download_pdf:91 - Downloading Constella/1477 : Constella
2025-07-02 10:15:45.706 | INFO     | adapters.download_file:download_pdf:91 - Downloading Cimzia/1477 : Cimzia
2025-07-02 10:15:45.711 | INFO     | adapters.download_file:download_pdf:91 - Downloading Livmarli/1477 : Livmarli
2025-07-02 10:15:45.715 | INFO     | adapters.download_file:download_pdf:91 - Downloading Xydalba/1477 : Xydalba
2025-07-02 10:15:45.833 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Livmarli. Retrying...(1/5)
2025-07-02 10:15:45.989 | SUCCESS  | adapters.download_file:download_pdf:99 - Success: Constella
2025-07-02 10:15:45.990 | INFO     | adapters.download_file:download_pdf:91 - Downloading Synjardy/1477 : Synjardy
2025-07-02 10:15:45.995 | SUCCESS  | adapters.download_file:download_pdf:99 - Success: Xydalba
2025-07-02 10:15:45.995 | INFO     | adapters.download_file:download_pdf:91 - Downloading Breyanzi/1477 : Breyanzi
2025-07-02 10:15:46.053 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Synjardy. Retrying...(1/5)
2025-07-02 10:15:46.136 | SUCCESS  | adapters.download_file:download_pdf:99 - Success: Busulfan-fresenius-kabi
2025-07-02 10:15:46.137 | INFO     | adapters.download_file:download_pdf:91 - Downloading Naveruclif/1477 : Naveruclif
2025-07-02 10:15:46.195 | SUCCESS  | adapters.download_file:download_pdf:99 - Success: Cimzia
2025-07-02 10:15:46.195 | INFO     | adapters.download_file:download_pdf:91 - Downloading Sorafenib-accord/1477 : Sorafenib-accord
2025-07-02 10:15:46.196 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Naveruclif. Retrying...(1/5)
2025-07-02 10:15:46.247 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Sorafenib-accord. Retrying...(1/5)
2025-07-02 10:15:46.495 | SUCCESS  | adapters.download_file:download_pdf:99 - Success: Breyanzi
2025-07-02 10:15:46.495 | INFO     | adapters.download_file:download_pdf:91 - Downloading Jardiance/1477 : Jardiance
2025-07-02 10:15:47.101 | SUCCESS  | adapters.download_file:download_pdf:99 - Success: Jardiance
2025-07-02 10:15:47.102 | INFO     | adapters.download_file:download_pdf:91 - Downloading Bropair-spiromax/1477 : Bropair-spiromax
2025-07-02 10:15:47.139 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Bropair-spiromax. Retrying...(1/5)
2025-07-02 10:15:50.099 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Synjardy. Retrying...(2/5)
2025-07-02 10:15:54.168 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Synjardy. Retrying...(3/5)
2025-07-02 10:15:54.291 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Sorafenib-accord. Retrying...(2/5)
2025-07-02 10:15:56.238 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Naveruclif. Retrying...(2/5)
2025-07-02 10:15:58.497 | SUCCESS  | adapters.download_file:download_pdf:99 - Success: Bropair-spiromax
2025-07-02 10:15:58.498 | INFO     | adapters.download_file:download_pdf:91 - Downloading Levetiracetam-actavis/1477 : Levetiracetam-actavis
2025-07-02 10:15:58.533 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Levetiracetam-actavis. Retrying...(1/5)
2025-07-02 10:15:59.873 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Livmarli. Retrying...(2/5)
2025-07-02 10:16:03.210 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Synjardy. Retrying...(4/5)
2025-07-02 10:16:03.342 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Sorafenib-accord. Retrying...(3/5)
2025-07-02 10:16:05.586 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Levetiracetam-actavis. Retrying...(2/5)
2025-07-02 10:16:05.909 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Livmarli. Retrying...(3/5)
2025-07-02 10:16:06.252 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Synjardy. Retrying...(5/5)
2025-07-02 10:16:10.274 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Naveruclif. Retrying...(3/5)
2025-07-02 10:16:11.257 | ERROR    | adapters.download_file:download_pdf:121 - Error: Maximum number of retries (5) reached for Synjardy
2025-07-02 10:16:11.266 | INFO     | adapters.download_file:download_pdf:136 - Synjardy recorded in failed_urls_authorised.csv
2025-07-02 10:16:11.267 | INFO     | adapters.download_file:download_pdf:91 - Downloading Glyxambi/1477 : Glyxambi
2025-07-02 10:16:11.449 | SUCCESS  | adapters.download_file:download_pdf:99 - Success: Glyxambi
2025-07-02 10:16:11.450 | INFO     | adapters.download_file:download_pdf:91 - Downloading Keppra/1477 : Keppra
2025-07-02 10:16:11.572 | SUCCESS  | adapters.download_file:download_pdf:99 - Success: Keppra
2025-07-02 10:16:11.574 | INFO     | adapters.download_file:download_pdf:91 - Downloading Levetiracetam-ratiopharm/1477 : Levetiracetam-ratiopharm
2025-07-02 10:16:11.617 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Levetiracetam-ratiopharm. Retrying...(1/5)
2025-07-02 10:16:15.399 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Sorafenib-accord. Retrying...(4/5)
2025-07-02 10:16:16.649 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Levetiracetam-actavis. Retrying...(3/5)
2025-07-02 10:16:19.954 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Livmarli. Retrying...(4/5)
2025-07-02 10:16:22.578 | SUCCESS  | adapters.download_file:download_pdf:99 - Success: Sorafenib-accord
