2025-05-28 09:47:05.732 | SUCCESS  | adapters.download_file:download_index:33 - Téléchargement réussi depuis https://www.ema.europa.eu/en/documents/report/medicines-output-medicines-report_en.xlsx
2025-05-28 09:47:07.199 | SUCCESS  | core.manipulate_df:simplify_dataframe:61 - Réussite de la simplification du fichier excel
2025-05-28 09:47:07.217 | SUCCESS  | core.manipulate_df:simplify_dataframe:71 - Réussite de la sauvegarde du fichier simplifié
2025-05-28 09:47:07.218 | ERROR    | core.update_rcp:rename_update_rcp:20 - Aucun fichier de la veille trouvé, il n'y a rien à comparer.
2025-05-28 09:47:07.227 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Xenpozyme.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:47:07.227 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Galafold.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:47:07.228 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Icandra.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:47:07.228 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Eucreas.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:47:07.228 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Paxlovid.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:47:07.228 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Zomarist.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:47:07.228 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Prevymis.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:47:07.228 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Ovaleap.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:47:07.228 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Sorafenib-accord.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:47:07.229 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Hyqvia.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:47:07.229 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Inflectra.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:47:07.229 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Ixchiq.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:47:07.229 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Calquence.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:47:07.229 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Voxzogo.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:47:07.230 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Ranivisio.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:47:07.230 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Epruvy.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:47:07.230 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Eksunbi.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:47:07.230 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Otulfi.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:47:07.231 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Pyzchiva.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:47:07.231 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Pylclari.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:47:07.231 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Bimervax.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:47:07.232 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Rixathon.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:47:07.232 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Lacosamide-ucb.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:47:07.232 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Ovitrelle.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:47:07.233 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Vegzelma.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:47:07.233 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Retsevmo.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:47:07.233 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Advate.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:47:07.234 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Pedmarqsi.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:47:07.234 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Remsima.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:47:07.234 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Ifirmacombi.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:47:07.234 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Ifirmasta.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:47:07.235 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Menveo.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:47:07.236 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Ristfor.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:47:07.236 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Velmetia.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:47:07.236 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Janumet.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:47:07.237 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Ebymect.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:47:07.237 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Kisplyx.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:47:07.237 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Komboglyze.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:47:07.237 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Zoledronic-acid-accord.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:47:07.238 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Xigduo.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:47:07.238 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Epidyolex.pdf existe déjà. Téléchargement ignoré.
