2025-05-28 09:58:30.665 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Ristfor.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.665 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Velmetia.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.666 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Janumet.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.666 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Ebymect.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.666 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Kisplyx.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.667 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Komboglyze.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.667 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Zoledronic-acid-accord.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.667 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Xigduo.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.668 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Epidyolex.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.668 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Kostaive.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.668 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Inhixa.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.668 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Blitzima.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.669 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Jemperli.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.669 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Arexvy.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.669 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Revestive.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.670 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Nerlynx.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.670 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Abrysvo.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.670 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Xydalba.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.670 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Supemtek-tetra.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.671 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Uptravi.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.671 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Scemblix.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.671 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Pedea.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.671 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Teysuno.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.672 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Instanyl.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.672 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Lysakare.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.672 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Poteligeo.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.673 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Korjuny.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.673 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Tevimbra.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.673 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Artesunate-amivas.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.673 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Eltrombopag-accord.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.674 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Beqvez.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.674 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Zavicefta.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.675 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Conbriza.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.675 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Duavive.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.676 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Pelgraz.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.676 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Brinavess.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.676 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Sitagliptin-metformin-hydrochloride-accord.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.678 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Vipdomet.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.679 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Orencia.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.680 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Noxafil.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.681 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Adempas.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.681 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Briviact.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.682 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Beovu.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.682 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Fymskina.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.683 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Flixabi.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.683 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Adtralza.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.684 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Bylvay.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.684 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Buprenorphine-neuraxpharm.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.685 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Ogluo.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.685 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Lyvdelzi.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.685 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Sibnayal.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.686 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Cerdelga.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.687 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Uzpruvo.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.687 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Accofil.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.688 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Eydenzelt.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.689 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Bortezomib-hospira.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.689 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Matever.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.690 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Fingolimod-accord.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.690 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Remicade.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.692 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Flucelvax.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.692 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Enspryng.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.693 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Imfinzi.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.693 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Deqsiga.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.694 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Rinvoq.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.694 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Inomax.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.694 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Lorviqua.pdf existe déjà. Téléchargement ignoré.
2025-05-28 09:58:30.694 | INFO     | adapters.download_file:download_pdf:77 - Le fichier ema_rcp/Osenvelt.pdf existe déjà. Téléchargement ignoré.
