2025-07-02 09:45:09.593 | INFO     | core.update_rcp:update_rcp:70 - Update #14 : RCP for Keppra added to the download list.
2025-07-02 09:45:09.594 | INFO     | core.update_rcp:update_rcp:70 - Update #15 : RCP for Levetiracetam-ratiopharm added to the download list.
2025-07-02 09:45:09.599 | INFO     | core.update_rcp:update_rcp:70 - Update #16 : RCP for Levetiracetam-teva added to the download list.
2025-07-02 09:45:09.600 | INFO     | core.update_rcp:update_rcp:70 - Update #17 : RCP for Emtricitabine-tenofovir-disoproxil-mylan added to the download list.
2025-07-02 09:45:09.601 | INFO     | core.update_rcp:update_rcp:70 - Update #18 : RCP for Levetiracetam-actavis-group added to the download list.
2025-07-02 09:45:09.602 | INFO     | core.update_rcp:update_rcp:70 - Update #19 : RCP for Vyjuvek added to the download list.
2025-07-02 09:45:09.647 | INFO     | adapters.download_file:download_pdf:91 - Downloading Busulfan-fresenius-kabi/1477 : Busulfan-fresenius-kabi
2025-07-02 09:45:09.652 | INFO     | adapters.download_file:download_pdf:91 - Downloading Constella/1477 : Constella
2025-07-02 09:45:09.653 | INFO     | adapters.download_file:download_pdf:91 - Downloading Cimzia/1477 : Cimzia
2025-07-02 09:45:09.655 | INFO     | adapters.download_file:download_pdf:91 - Downloading Livmarli/1477 : Livmarli
2025-07-02 09:45:09.656 | INFO     | adapters.download_file:download_pdf:91 - Downloading Xydalba/1477 : Xydalba
2025-07-02 09:45:09.741 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Cimzia. Retrying...(1/5)
2025-07-02 09:45:09.744 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Busulfan-fresenius-kabi. Retrying...(1/5)
2025-07-02 09:45:09.756 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Livmarli. Retrying...(1/5)
2025-07-02 09:45:09.883 | SUCCESS  | adapters.download_file:download_pdf:99 - Success: Constella
2025-07-02 09:45:09.883 | INFO     | adapters.download_file:download_pdf:91 - Downloading Synjardy/1477 : Synjardy
2025-07-02 09:45:09.892 | SUCCESS  | adapters.download_file:download_pdf:99 - Success: Xydalba
2025-07-02 09:45:09.893 | INFO     | adapters.download_file:download_pdf:91 - Downloading Breyanzi/1477 : Breyanzi
2025-07-02 09:45:09.926 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Synjardy. Retrying...(1/5)
2025-07-02 09:45:09.934 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Breyanzi. Retrying...(1/5)
2025-07-02 09:45:10.795 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Livmarli. Retrying...(2/5)
2025-07-02 09:45:11.809 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Busulfan-fresenius-kabi. Retrying...(2/5)
2025-07-02 09:45:12.012 | SUCCESS  | adapters.download_file:download_pdf:99 - Success: Cimzia
2025-07-02 09:45:12.012 | INFO     | adapters.download_file:download_pdf:91 - Downloading Naveruclif/1477 : Naveruclif
2025-07-02 09:45:12.050 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Naveruclif. Retrying...(1/5)
2025-07-02 09:45:12.844 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Livmarli. Retrying...(3/5)
2025-07-02 09:45:16.979 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Breyanzi. Retrying...(2/5)
2025-07-02 09:45:18.098 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Naveruclif. Retrying...(2/5)
2025-07-02 09:45:24.093 | SUCCESS  | adapters.download_file:download_pdf:99 - Success: Livmarli
2025-07-02 09:45:24.093 | INFO     | adapters.download_file:download_pdf:91 - Downloading Sorafenib-accord/1477 : Sorafenib-accord
2025-07-02 09:45:24.262 | SUCCESS  | adapters.download_file:download_pdf:99 - Success: Sorafenib-accord
2025-07-02 09:45:24.262 | INFO     | adapters.download_file:download_pdf:91 - Downloading Jardiance/1477 : Jardiance
2025-07-02 09:45:24.547 | SUCCESS  | adapters.download_file:download_pdf:99 - Success: Jardiance
2025-07-02 09:45:24.548 | INFO     | adapters.download_file:download_pdf:91 - Downloading Bropair-spiromax/1477 : Bropair-spiromax
2025-07-02 09:45:24.584 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Bropair-spiromax. Retrying...(1/5)
2025-07-02 09:45:24.988 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Synjardy. Retrying...(2/5)
2025-07-02 09:45:25.867 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Busulfan-fresenius-kabi. Retrying...(3/5)
2025-07-02 09:45:29.624 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Bropair-spiromax. Retrying...(2/5)
2025-07-02 09:45:31.043 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Breyanzi. Retrying...(3/5)
2025-07-02 09:45:31.067 | SUCCESS  | adapters.download_file:download_pdf:99 - Success: Busulfan-fresenius-kabi
2025-07-02 09:45:31.067 | INFO     | adapters.download_file:download_pdf:91 - Downloading Levetiracetam-actavis/1477 : Levetiracetam-actavis
2025-07-02 09:45:31.104 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Levetiracetam-actavis. Retrying...(1/5)
2025-07-02 09:45:32.166 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Naveruclif. Retrying...(3/5)
2025-07-02 09:45:33.665 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Bropair-spiromax. Retrying...(3/5)
2025-07-02 09:45:35.089 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Breyanzi. Retrying...(4/5)
2025-07-02 09:45:37.026 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Synjardy. Retrying...(3/5)
2025-07-02 09:45:39.071 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Synjardy. Retrying...(4/5)
2025-07-02 09:45:39.214 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Naveruclif. Retrying...(4/5)
2025-07-02 09:45:44.150 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Levetiracetam-actavis. Retrying...(2/5)
2025-07-02 09:45:46.117 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Synjardy. Retrying...(5/5)
2025-07-02 09:45:46.365 | SUCCESS  | adapters.download_file:download_pdf:99 - Success: Breyanzi
2025-07-02 09:45:46.365 | INFO     | adapters.download_file:download_pdf:91 - Downloading Glyxambi/1477 : Glyxambi
2025-07-02 09:45:46.403 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Glyxambi. Retrying...(1/5)
2025-07-02 09:45:46.711 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Bropair-spiromax. Retrying...(4/5)
